Overall Qual,Exter Qual,Bsmt Qual,1st Flr SF,Gr Liv Area,Kitchen Qual,Fireplace Qu,Garage Finish,Garage Area,Mas Vnr Avail,House_Style_1Story,House_Style_2Story,House_Style_Others,Foundation__CBlock,Foundation__Others,Foundation__PConc,Area_Side_East,Area_Side_North,Area_Side_South,Area_Side_West,Total_Bath,Age,Age_Renov,Bsmt_QC,Area_Rm_Ratio,SalePrice
6.0,3.0,3.0,768,768,2.0,0.0,1.0,440.0,0,1,0,0,0,1,0,1,0,0,0,1.0,78,58,2304.0,192.0,93850
5.0,2.0,3.0,872,872,1.0,4.0,1.0,322.0,1,1,0,0,0,1,0,0,0,0,1,1.0,82,56,2616.0,174.4,105000
4.0,2.0,3.0,520,520,1.0,0.0,1.0,240.0,0,1,0,0,0,1,0,1,0,0,0,1.0,81,58,1560.0,130.0,68500
5.0,2.0,3.0,1105,2274,2.0,0.0,1.0,480.0,1,0,1,0,1,0,0,0,1,0,0,2.0,50,50,3315.0,189.5,154300
5.0,3.0,3.0,936,1601,2.0,0.0,0.0,0.0,0,0,0,1,0,1,0,1,0,0,0,2.0,82,4,936.0,266.83,129850
5.0,2.0,3.0,616,1232,2.0,0.0,1.0,480.0,0,0,1,0,0,1,0,1,0,0,0,1.0,97,57,1848.0,205.33,114000
5.0,2.0,3.0,876,1416,2.0,4.0,1.0,720.0,0,0,0,1,0,1,0,1,0,0,0,1.5,93,58,2628.0,202.29,153900
4.0,2.0,3.0,864,864,2.0,0.0,1.0,576.0,0,1,0,0,1,0,0,0,1,0,0,1.0,38,3,2592.0,172.8,130000
6.0,2.0,5.0,1189,1189,2.0,0.0,2.0,392.0,1,1,0,0,0,0,1,0,0,1,0,3.0,11,11,3567.0,297.25,160500
9.0,4.0,5.0,1666,1666,3.0,4.0,2.0,575.0,1,1,0,0,0,0,1,0,1,0,0,3.0,0,0,6664.0,277.67,310090
7.0,3.0,4.0,1200,1200,3.0,0.0,2.0,555.0,0,1,0,0,0,0,1,0,0,0,1,3.0,6,6,3528.0,240.0,184900
5.0,2.0,4.0,928,928,2.0,0.0,1.0,252.0,0,1,0,0,1,0,0,0,1,0,0,1.0,51,7,2784.0,232.0,132000
5.0,2.0,4.0,1336,1336,2.0,2.0,2.0,502.0,1,1,0,0,1,0,0,0,1,0,0,2.5,40,40,3864.0,222.67,163000
7.0,3.0,4.0,600,1200,3.0,0.0,2.0,480.0,1,0,1,0,0,0,1,0,1,0,0,2.5,6,6,1800.0,300.0,155000
6.0,2.0,3.0,1427,1427,2.0,0.0,2.0,516.0,0,0,0,1,1,0,0,0,1,0,0,2.5,39,39,4281.0,203.86,183000
7.0,3.0,4.0,1212,1992,3.0,3.0,2.0,608.0,1,0,1,0,0,0,1,0,0,0,1,3.5,11,5,2580.0,284.57,211000
7.0,3.0,4.0,754,1540,3.0,0.0,2.0,495.0,0,0,1,0,0,0,1,0,0,0,1,3.5,15,15,2262.0,256.67,184000
5.0,2.0,0.0,1535,1535,2.0,0.0,1.0,400.0,0,1,0,0,0,1,0,0,0,0,1,2.0,30,30,0.0,191.88,118858
5.0,2.0,3.0,1152,1152,2.0,4.0,2.0,484.0,1,0,0,1,0,0,1,0,1,0,0,2.0,46,46,3456.0,192.0,180500
8.0,3.0,4.0,1151,1151,3.0,0.0,3.0,484.0,1,1,0,0,0,0,1,0,1,0,0,3.0,1,0,3423.0,230.2,166000
6.0,2.0,3.0,1138,1138,2.0,3.0,2.0,480.0,1,0,0,1,1,0,0,0,0,0,1,1.5,49,49,3414.0,189.67,148000
5.0,2.0,3.0,1074,1074,3.0,4.0,1.0,396.0,0,1,0,0,1,0,0,0,1,0,0,1.0,51,51,2682.0,179.0,124000
9.0,4.0,5.0,1561,1561,4.0,4.0,3.0,556.0,1,1,0,0,0,0,1,0,1,0,0,3.0,2,2,4683.0,260.17,277500
4.0,2.0,3.0,605,605,2.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,2.0,87,5,1584.0,121.0,86000
8.0,4.0,4.0,1671,1671,4.0,4.0,2.0,550.0,0,1,0,0,1,0,0,0,1,0,0,4.0,32,1,7130.0,278.5,290000
3.0,2.0,2.0,797,797,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1.0,109,59,735.0,159.4,44000
6.0,2.0,5.0,804,1961,3.0,3.0,3.0,560.0,0,0,1,0,0,0,1,0,0,1,0,3.5,8,7,2412.0,280.14,215000
5.0,2.0,4.0,1193,1193,2.0,0.0,3.0,501.0,1,1,0,0,1,0,0,0,1,0,0,3.0,34,34,3459.0,198.83,146500
7.0,3.0,4.0,673,1382,3.0,0.0,1.0,490.0,0,0,1,0,0,0,1,0,1,0,0,3.5,6,6,2019.0,230.33,165000
6.0,2.0,3.0,1664,2526,3.0,4.0,1.0,216.0,0,0,0,1,0,1,0,1,0,0,0,2.0,91,57,2142.0,252.6,136000
6.0,2.0,4.0,1390,1390,4.0,4.0,1.0,550.0,1,1,0,0,1,0,0,0,1,0,0,2.5,49,49,5115.0,347.5,252000
7.0,3.0,4.0,764,1626,3.0,0.0,2.0,474.0,1,0,1,0,0,0,1,0,1,0,0,2.5,7,7,2292.0,271.0,175500
5.0,2.0,3.0,868,1558,2.0,4.0,1.0,400.0,0,0,1,0,0,1,0,1,0,0,0,1.5,70,59,2070.0,222.57,150000
5.0,2.0,3.0,1422,1422,2.0,3.0,2.0,286.0,0,1,0,0,1,0,0,0,1,0,0,1.0,47,29,2934.0,237.0,139900
5.0,2.0,3.0,1128,1573,2.0,4.0,1.0,360.0,0,0,0,1,0,0,1,1,0,0,0,2.0,78,16,3234.0,196.62,162900
6.0,2.0,3.0,1116,1116,2.0,0.0,1.0,440.0,1,1,0,0,1,0,0,0,1,0,0,1.5,48,48,3348.0,223.2,160000
2.0,2.0,0.0,660,660,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,1.0,62,59,0.0,132.0,63900
6.0,2.0,3.0,1707,1707,2.0,3.0,3.0,479.0,1,1,0,0,0,0,1,0,1,0,0,2.0,31,11,3420.0,243.86,184000
5.0,2.0,3.0,1466,1466,1.0,4.0,3.0,528.0,1,1,0,0,1,0,0,0,0,0,1,1.5,47,47,4398.0,244.33,149900
9.0,3.0,4.0,1638,1638,4.0,3.0,3.0,495.0,1,1,0,0,0,0,1,0,1,0,0,3.0,8,8,4842.0,327.6,300000
5.0,2.0,3.0,1721,1721,2.0,3.0,1.0,626.0,1,1,0,0,1,0,0,0,0,0,1,3.0,48,48,2964.0,245.86,145000
6.0,2.0,4.0,928,1764,3.0,0.0,2.0,470.0,0,0,1,0,0,0,1,0,0,0,1,3.5,12,12,2784.0,252.0,231500
5.0,2.0,3.0,996,996,2.0,4.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,2.0,68,39,2988.0,166.0,108000
5.0,2.0,3.0,1202,1202,2.0,0.0,2.0,304.0,0,1,0,0,1,0,0,0,1,0,0,1.5,53,53,3606.0,200.33,120000
5.0,2.0,3.0,988,988,2.0,0.0,1.0,572.0,1,1,0,0,1,0,0,0,0,0,1,2.0,46,46,2964.0,197.6,128500
5.0,2.0,3.0,1028,1028,2.0,4.0,1.0,360.0,0,1,0,0,1,0,0,1,0,0,0,1.0,83,60,3024.0,205.6,115000
5.0,2.0,3.0,720,1284,2.0,0.0,1.0,240.0,0,0,0,1,1,0,0,1,0,0,0,1.5,62,59,2160.0,256.8,110000
9.0,3.0,4.0,1599,2944,3.0,4.0,2.0,864.0,1,0,1,0,1,0,0,0,1,0,0,3.0,31,31,2982.0,327.11,150000
8.0,3.0,5.0,707,1414,3.0,4.0,3.0,403.0,0,0,1,0,0,0,1,0,1,0,0,2.5,2,2,2828.0,235.67,178000
7.0,2.0,3.0,959,1609,3.0,4.0,1.0,579.0,0,0,1,0,0,1,0,0,0,1,0,1.5,74,16,1911.0,201.12,199500
6.0,2.0,3.0,813,1525,2.0,3.0,3.0,400.0,0,0,1,0,0,0,1,0,1,0,0,3.5,9,8,2439.0,254.17,183500
5.0,1.0,4.0,1092,1656,2.0,1.0,1.0,288.0,0,0,0,1,1,0,0,1,0,0,0,1.5,41,41,1872.0,236.57,126000
7.0,2.0,4.0,1055,1055,2.0,0.0,1.0,440.0,0,1,0,0,1,0,0,0,1,0,0,2.0,31,31,3165.0,263.75,148500
5.0,2.0,3.0,676,1352,3.0,0.0,1.0,720.0,0,0,1,0,0,1,0,1,0,0,0,2.5,70,3,2028.0,193.14,149000
6.0,2.0,4.0,855,1456,2.0,3.0,1.0,440.0,0,0,1,0,1,0,0,0,1,0,0,2.5,32,32,2565.0,242.67,137900
8.0,3.0,4.0,1719,1719,3.0,4.0,3.0,473.0,0,1,0,0,0,0,1,0,1,0,0,3.5,15,15,5157.0,286.5,324000
5.0,2.0,3.0,864,864,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,2.0,83,58,2592.0,172.8,98000
6.0,2.0,3.0,483,987,2.0,0.0,1.0,264.0,1,0,1,0,1,0,0,0,1,0,0,2.0,35,35,1449.0,197.4,103400
5.0,2.0,3.0,780,1020,2.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,1,1.0,135,14,2340.0,170.0,94000
8.0,3.0,4.0,1554,1554,3.0,4.0,2.0,627.0,1,1,0,0,0,0,1,0,1,0,0,2.0,1,1,6216.0,259.0,209500
6.0,3.0,3.0,780,1560,3.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,0,0,0,1.5,98,1,2340.0,222.86,159900
4.0,2.0,3.0,864,864,2.0,0.0,1.0,400.0,0,1,0,0,1,0,0,0,1,0,0,1.0,59,59,2592.0,216.0,141000
6.0,2.0,4.0,1008,1889,2.0,3.0,3.0,431.0,0,0,1,0,0,0,1,0,1,0,0,2.5,6,6,2946.0,209.89,215000
5.0,2.0,3.0,1040,1040,2.0,0.0,1.0,260.0,0,1,0,0,1,0,0,0,0,0,1,2.5,48,0,3120.0,173.33,127000
5.0,2.0,3.0,1172,1172,2.0,0.0,3.0,366.0,0,1,0,0,1,0,0,0,0,0,1,2.0,56,12,3516.0,234.4,128000
8.0,3.0,5.0,1418,1418,3.0,4.0,2.0,852.0,0,1,0,0,0,0,1,0,1,0,0,2.5,0,0,1642.0,236.33,267916
6.0,2.0,3.0,959,1367,2.0,4.0,1.0,560.0,0,0,0,1,0,1,0,1,0,0,0,1.0,76,57,1768.0,227.83,127500
7.0,3.0,0.0,495,1922,3.0,5.0,2.0,672.0,1,0,0,1,0,1,0,0,0,0,1,3.0,6,6,0.0,274.57,198500
6.0,2.0,4.0,1422,1422,3.0,3.0,3.0,576.0,1,1,0,0,1,0,0,0,1,0,0,2.0,27,27,4266.0,203.14,175500
7.0,3.0,4.0,985,1842,3.0,3.0,3.0,486.0,1,0,1,0,0,0,1,0,0,0,1,3.5,7,7,2955.0,263.14,217500
4.0,2.0,3.0,888,1962,2.0,3.0,1.0,572.0,0,0,0,1,1,0,0,1,0,0,0,1.5,95,60,2664.0,218.0,149500
5.0,3.0,3.0,1120,1120,2.0,3.0,2.0,656.0,1,1,0,0,0,0,1,0,1,0,0,1.5,43,5,2592.0,224.0,148800
6.0,2.0,3.0,1478,1478,2.0,4.0,2.0,442.0,0,1,0,0,1,0,0,0,1,0,0,2.5,52,52,4434.0,246.33,156500
7.0,3.0,4.0,950,1995,3.0,3.0,2.0,610.0,0,0,1,0,0,0,1,0,0,0,1,3.5,11,10,3720.0,249.38,237000
5.0,2.0,3.0,912,912,2.0,0.0,3.0,297.0,0,1,0,0,1,0,0,0,1,0,0,1.5,49,22,2736.0,182.4,120000
6.0,2.0,4.0,1326,1326,3.0,0.0,3.0,388.0,0,1,0,0,0,0,1,0,1,0,0,3.0,2,2,3978.0,221.0,203000
8.0,2.0,4.0,1204,1204,2.0,0.0,2.0,461.0,0,1,0,0,1,0,0,0,1,0,0,2.0,19,19,3573.0,240.8,130000
6.0,2.0,3.0,798,1611,2.0,0.0,2.0,442.0,1,0,1,0,1,0,0,0,1,0,0,2.5,44,44,2340.0,230.14,167900
4.0,2.0,3.0,960,960,2.0,0.0,1.0,576.0,1,1,0,0,1,0,0,1,0,0,0,2.0,36,36,2880.0,160.0,129000
5.0,2.0,3.0,1236,1236,3.0,2.0,1.0,447.0,1,1,0,0,1,0,0,0,1,0,0,1.5,49,10,3210.0,206.0,134450
5.0,2.0,3.0,1416,1416,3.0,0.0,1.0,576.0,0,1,0,0,0,1,0,0,0,0,1,2.0,89,0,2448.0,202.29,112000
7.0,3.0,4.0,946,1873,3.0,3.0,2.0,619.0,1,0,1,0,0,0,1,0,0,0,1,3.5,19,19,2787.0,267.57,207000
5.0,2.0,3.0,1088,2128,2.0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,0,2.0,87,59,2080.0,193.45,62500
7.0,3.0,4.0,764,1626,3.0,0.0,2.0,474.0,1,0,1,0,0,0,1,0,1,0,0,3.5,5,4,2292.0,271.0,154000
5.0,2.0,3.0,816,816,2.0,0.0,1.0,308.0,0,1,0,0,1,0,0,0,1,0,0,2.0,49,49,2448.0,163.2,129900
5.0,2.0,4.0,536,1112,2.0,0.0,1.0,336.0,0,0,1,0,1,0,0,0,0,1,0,1.5,34,34,1608.0,278.0,85000
7.0,2.0,3.0,572,1111,2.0,4.0,1.0,288.0,0,0,0,1,0,0,1,1,0,0,0,1.0,82,58,1716.0,222.2,116900
6.0,2.0,3.0,855,1441,2.0,3.0,1.0,440.0,0,0,1,0,1,0,0,0,1,0,0,2.5,31,31,2565.0,205.86,148500
4.0,2.0,4.0,672,924,1.0,0.0,1.0,280.0,0,0,0,1,0,1,0,0,0,0,1,2.0,69,60,2016.0,184.8,80000
5.0,2.0,4.0,1126,1126,2.0,0.0,1.0,506.0,0,0,0,1,0,0,1,0,0,0,1,2.0,24,24,3180.0,225.2,152000
5.0,2.0,2.0,992,992,2.0,0.0,1.0,319.0,0,1,0,0,1,0,0,0,0,0,1,1.0,56,56,1143.0,165.33,155891
6.0,2.0,3.0,752,1376,3.0,0.0,1.0,576.0,0,0,0,1,0,0,1,1,0,0,0,1.0,87,57,2304.0,196.57,165000
7.0,3.0,4.0,1218,1218,3.0,0.0,2.0,676.0,0,1,0,0,0,0,1,0,1,0,0,2.0,1,0,3654.0,304.5,204500
5.0,2.0,3.0,888,1644,3.0,4.0,1.0,312.0,1,0,1,0,1,0,0,0,1,0,0,1.5,65,12,2184.0,234.86,146500
7.0,2.0,4.0,1601,1601,2.0,3.0,2.0,478.0,1,1,0,0,1,0,0,0,1,0,0,2.0,31,31,3813.0,228.71,157000
7.0,2.0,3.0,1313,2495,2.0,4.0,1.0,342.0,0,0,1,0,0,1,0,1,0,0,0,2.0,118,9,3939.0,249.5,184000
6.0,3.0,4.0,807,1509,3.0,4.0,3.0,393.0,0,0,1,0,0,0,1,0,1,0,0,3.5,4,3,2349.0,215.57,183200
5.0,2.0,3.0,1092,1092,2.0,1.0,1.0,288.0,1,1,0,0,1,0,0,0,0,0,1,1.5,47,47,3276.0,182.0,139000
6.0,2.0,3.0,483,987,2.0,0.0,1.0,264.0,1,0,1,0,1,0,0,0,1,0,0,1.5,39,39,1449.0,197.4,96000
4.0,2.0,4.0,1121,1121,2.0,0.0,2.0,440.0,0,1,0,0,0,0,1,0,0,0,1,2.0,7,6,3363.0,224.2,140000
6.0,2.0,3.0,1236,1236,2.0,0.0,1.0,923.0,0,1,0,0,1,0,0,1,0,0,0,2.0,53,14,2736.0,206.0,149700
5.0,2.0,4.0,1074,1074,2.0,0.0,2.0,495.0,0,1,0,0,1,0,0,0,1,0,0,2.5,31,31,3168.0,179.0,153500
1.0,1.0,0.0,733,733,1.0,0.0,1.0,487.0,0,1,0,0,0,1,0,1,0,0,0,1.0,56,56,0.0,183.25,13100
7.0,3.0,4.0,884,1768,3.0,0.0,2.0,543.0,1,0,1,0,0,0,1,0,0,0,1,3.5,5,5,2652.0,221.0,224900
7.0,3.0,4.0,1266,1266,3.0,3.0,1.0,453.0,0,1,0,0,0,0,1,0,1,0,0,2.0,1,1,3771.0,211.0,176000
8.0,3.0,4.0,2129,2872,3.0,3.0,3.0,541.0,1,0,0,1,0,0,1,0,1,0,0,2.5,15,7,5049.0,319.11,285000
8.0,3.0,4.0,1464,1464,3.0,0.0,1.0,754.0,1,1,0,0,0,0,1,0,1,0,0,3.0,0,0,4455.0,244.0,282922
7.0,2.0,3.0,1216,2157,3.0,4.0,3.0,487.0,1,0,1,0,1,0,0,0,1,0,0,2.5,40,40,2772.0,269.62,226000
